band,pair,delta_chb01,delta_chb03,delta_chb05,delta_chb07,delta_chb11,delta_chb14,delta_chb21,conc_ictal_mean,conc_inter_mean,n_std_pos,n_inv_pos,sign_agreement,r_pointbiserial,p_pointbiserial,r_circlinear,flagged
alpha,F7-T7|FP2-F4,+0.3927,-0.8035,+2.8797,-0.4397,+1.8345,-0.6541,+0.8551,0.8609,0.8138,2/4,2/3,4/7,-0.0325,0.9448,0.3627,0
alpha,F7-T7|F4-C4,-0.1380,+0.0976,+2.5566,-0.2019,-1.8570,+0.4791,+0.8263,0.7817,0.7972,2/4,2/3,4/7,+0.3976,0.3771,0.1956,0
alpha,FP1-F3|F3-C3,+0.2454,-2.4781,+0.2033,-0.9283,-0.0793,+2.0838,+1.1103,0.7111,0.7459,3/4,1/3,5/7,+0.3248,0.4772,0.2200,0
alpha,FP1-F3|FP2-F8,-0.2053,+1.8487,-2.2947,-0.8612,-0.4332,+0.2297,-0.1178,0.7462,0.8462,1/4,1/3,4/7,-0.5235,0.2279,0.4610,0
alpha,FP1-F3|F8-T8,-0.0956,+2.4446,-3.1184,+0.6525,+0.4063,-1.8852,+0.4544,0.8045,0.6926,1/4,3/3,6/7,-0.6501,0.1140,0.5777,1
alpha,FP1-F3|FP2-F4,+0.0025,+0.1120,-0.0788,-0.6535,-0.0611,+0.2201,+0.0844,0.9590,0.9914,2/4,2/3,4/7,-0.3243,0.4780,0.3852,0
alpha,FP1-F3|F4-C4,+0.2926,+1.0289,+1.5209,+1.4874,+0.3052,+2.6662,+2.3107,0.7608,0.7136,4/4,3/3,4/7,+0.1619,0.7287,0.1633,0
alpha,F3-C3|FP2-F8,-0.2481,-0.2358,+0.8281,-0.2633,-0.3704,+0.0340,+0.0468,0.8253,0.9119,2/4,1/3,4/7,+0.3578,0.4307,0.3552,0
alpha,F3-C3|F8-T8,-0.0904,+0.1237,-0.4633,-0.6725,+0.1846,+0.2979,+0.1384,0.8699,0.8754,1/4,3/3,6/7,-0.5580,0.1930,0.5782,1
alpha,F3-C3|FP2-F4,-0.1096,-1.7106,-0.1438,-0.4296,-0.2036,-1.4449,-0.3498,0.8349,0.6835,0/4,0/3,4/7,+0.1795,0.7002,0.2269,0
alpha,F3-C3|F4-C4,-0.0869,-0.0849,+0.5246,-0.2436,+0.3246,+0.0602,+0.2984,0.9576,0.9747,2/4,2/3,4/7,-0.2242,0.6289,0.5275,0
alpha,FP2-F8|F8-T8,-0.5366,-0.3225,+0.3343,-0.5941,+0.7863,+0.2550,+0.0085,0.8689,0.6543,2/4,2/3,4/7,-0.3090,0.5002,0.2893,0
alpha,FP2-F8|FP2-F4,+0.0895,-0.4393,+1.5482,-0.1372,-0.1010,+0.0100,-0.0435,0.8798,0.9503,3/4,0/3,6/7,+0.4732,0.2835,0.6129,1
alpha,FP2-F8|F4-C4,-0.1385,+0.1367,+0.8913,+0.0621,+0.4204,+0.0293,+0.4839,0.8013,0.8939,3/4,3/3,4/7,-0.2068,0.6563,0.8296,0
alpha,F8-T8|FP2-F4,+0.4049,-0.7742,+3.0170,+2.0827,-0.5510,-1.5148,-0.1542,0.8051,0.7974,3/4,0/3,6/7,+0.4891,0.2654,0.7092,1
alpha,F8-T8|F4-C4,+0.0549,-0.1969,+0.2781,+0.0627,+0.0171,-0.0069,+0.0671,0.8540,0.9809,3/4,2/3,4/7,+0.5158,0.2360,0.5229,0
alpha,FP2-F4|F4-C4,+0.2176,+0.7451,+1.2539,-1.2555,+0.5639,+1.3825,+0.3488,0.7348,0.7068,3/4,3/3,4/7,-0.0935,0.8419,0.6570,0
